"height","ft_in","athlete"
1.46,"4 ft 9 1/2 in","Nancy Voorhees"
1.485,"4 ft 10 1/2 in","Elizabeth Stine"
1.485,"4 ft 10 1/2 in","Sophie"
1.524,"5 ft 0 in","Phyllis Green"
1.552,"5 ft 1 1/8 in","Phyllis Green"
1.58,"5 ft 2 1/4 in","Ethel Catherwood"
1.58,"5 ft 2 1/4 in","Lien Gisolf"
1.595,"5 ft 2 3/4 in","Ethel Catherwood"
1.605,"5 ft 3 1/4 in","Lien Gisolf"
1.62,"5 ft 3 3/4 in","Lien Gisolf"
1.65,"5 ft 5 in","Jean Shiley"
1.65,"5 ft 5 in","Mildred Didrikson"
1.66,"5 ft 5 3/8 in","Dorothy Odam"
1.66,"5 ft 5 3/8 in","Esther van Heerden"
1.66,"5 ft 5 3/8 in","Ilsebill Pfenning"
1.71,"5 ft 7 3/8 in","Fanny"
1.72,"5 ft 7 3/4 in","Sheila Lerwill"
1.73,"5 ft 8 1/8 in","Aleksandra Chudina"
1.74,"5 ft 8 1/2 in","Thelma Hopkins"
1.75,"5 ft 8 7/8 in","Iolanda Balaș"
1.76,"5 ft 9 1/4 in","Mildred McDaniel"
1.76,"5 ft 9 1/4 in","Iolanda Balaş"
1.77,"5 ft 9 5/8 in","Zheng Fengrong"
1.78,"5 ft 10 1/8 in","Iolanda Balaş"
1.8,"5 ft 10 7/8 in","Iolanda Balaş"
1.81,"5 ft 11 1/4 in","Iolanda Balaş"
1.82,"5 ft 11 5/8 in","Iolanda Balaş"
1.83,"6 ft 0 in","Iolanda Balaş"
1.84,"6 ft 0 1/2 in","Iolanda Balaş"
1.85,"6 ft 0 7/8 in","Iolanda Balaş"
1.86,"6 ft 1 1/4 in","Iolanda Balaş"
1.87,"6 ft 1 5/8 in","Iolanda Balaş"
1.88,"6 ft 2 in","Iolanda Balaş"
1.9,"6 ft 2 3/4 in","Iolanda Balaş"
1.91,"6 ft 3 1/4 in","Iolanda Balaş"
1.92,"6 ft 3 5/8 in","Ilona Gusenbauer"
1.92,"6 ft 3 5/8 in","Ulrike Meyfarth"
1.94,"6 ft 4 3/8 in","Yordanka Blagoeva"
1.94,"6 ft 4 3/8 in","Rosemarie Witschas"
1.95,"6 ft 4 3/4 in","Rosemarie Ackermann"
1.96,"6 ft 5 1/8 in","Rosemarie Ackermann"
1.96,"6 ft 5 1/8 in","Rosemarie Ackermann"
1.97,"6 ft 5 1/2 in","Rosemarie Ackermann"
1.97,"6 ft 5 1/2 in","Rosemarie Ackermann"
2,"6 ft 6 3/4 in","Rosemarie Ackermann"
2.01,"6 ft 7 1/8 in","Sara Simeoni"
2.01,"6 ft 7 1/8 in","Sara Simeoni"
2.02,"6 ft 7 1/2 in","Ulrike Meyfarth"
2.03,"6 ft 7 7/8 in","Ulrike Meyfarth"
2.03,"6 ft 7 7/8 in","Tamara Bykova"
2.04,"6 ft 8 3/8 in","Tamara Bykova"
2.05,"6 ft 8 3/4 in","Tamara Bykova"
2.07,"6 ft 9 1/2 in","Lyudmila Andonova"
2.07,"6 ft 9 1/2 in","Stefka Kostadinova"
2.08,"6 ft 9 7/8 in","Stefka Kostadinova"
2.09,"6 ft 10 1/4 in","Stefka Kostadinova"
